Year,Temp,CO2
1980,0.27,338.8
1981,0.33,339.99
1982,0.13,340.76
1983,0.31,342.43
1984,0.16,343.98
1985,0.12,345.46
1986,0.18,346.87
1987,0.33,348.62
1988,0.41,351.14
1989,0.29,352.79
1990,0.44,353.97
1991,0.41,355.29
1992,0.22,355.99
1993,0.24,356.71
1994,0.31,358.2
1995,0.45,360.02
1996,0.34,361.79
1997,0.47,362.9
1998,0.62,365.55
1999,0.4,367.63
2000,0.4,368.81
2001,0.54,370.4
2002,0.62,372.41
2003,0.61,374.95
2004,0.53,376.78
2005,0.67,378.81
2006,0.61,380.93
2007,0.64,382.67
2008,0.51,384.78
2009,0.63,386.28
2010,0.7,388.56
2011,0.58,390.44
2012,0.62,392.45
2013,0.65,395.19
2014,0.73,397.11
2015,0.87,399.41
2016,0.99,402.81
2017,0.9,404.97
